Timestamp (Removed)	I have read and understand the explanation provided to me, and I voluntarily agree to participate in this study. 	Location	How many employees / workers have access to or use the various lab(s) [BSL-4 / ABSL-4]	How many employees / workers have access to or use the various lab(s) [BSL-3 / ABSL-3]	How many employees / workers have access to or use the various lab(s) [BSL-2 / ABSL-2]	How many employees / workers have access to or use the various lab(s) [Other facilities, (describe below)]	Other comments or details about labs / facilities?	How are laboratory incidents recorded?	What types of incidents are recorded? (Risk-Group=RG)	Who receives the incident reports?	Other comments / notes? (Optional)	What record-keeping requirements exist for each of the following types of incidents? [Exposure to high-consequence pathogens]	What record-keeping requirements exist for each of the following types of incidents? [Exposure to low-risk pathogens]	What record-keeping requirements exist for each of the following types of incidents? [Other exposure or injury]	What record-keeping requirements exist for each of the following types of incidents? [Near-Miss Events]	What type of incident reporting is required for potential exposures? [High-consequence potential exposures]	What type of incident reporting is required for potential exposures? [Other exposure or injury]	What type of incident reporting is required for clinical/public health laboratory acquired infections? [High-risk infections]	What type of incident reporting is required for clinical/public health laboratory acquired infections? [Other exposure or injury]	Is there further dissemination of incident reports?	Is incident data shared outside the entity?	If incident data is not shared, state why not. Mark only one oval.	Other points regarding reporting requirements or practices? (Optional)	Are you aware of non-reporting of exposures involving high-risk pathogens?	What incentives might affect reporting by lab workers?	What disincentives might affect reporting by lab workers?	Other comments regarding nonreporting or incentives? (Optional)	Consent	Do you have other comments about the survey or questions?
	Yes		We have no labs of this type	10-25	26-50	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, all injuries, illnesses, near misses	Local or state agency or health authority, Entity Biosafety officer	Reports are also received by 3rd party Worker's Comp	Internal policy only	Internal policy only	Internal policy only	Internal policy only	Unsure of requirements	Unsure of requirements	Local government requirement	Local government requirement	Yes	3rd party worker's comp	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	1-10	100	We have no labs of this type	BSL-1 lab scale and large scale (>10 l) activities	Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer	It is difficult to answer the question about reporting based on responses to the question about what is reported. For example, we report all events that result in harm (punctures, bites lacerations). The report goes to the associates supervisor. If the event was not sever, and there is no requirement to report externally, the report will stop there. There are other circumstances where the report will go to the Biosafety Officer or to an external agency.	N/A	Internal policy only	Internal policy only	Internal policy only	Unsure of requirements	No requirements	Unsure of requirements	Unsure of requirements	Yes	we share aggregated reports intenally to gauge health and safety performance	There is no requirement to further disseminate the reports	The series of questions regarding reporting was difficult to answer. Some events must be reported externally, but not due to a high or low consequence agent, instead due to potential for exposure to agents through exposure to human materials (ex. needlestick and blood) or exposure to a genetically modified organism (degree of consequence unknown).	we do not work with high risk pathogens	Lab workers see incident reporting as important for their own safety	reporting procedures have been forgotten due to infrequency of events	none		I'm not sure you will be able to draw accurate conclusions from the survey, based on my experience of the questions and how the selection of potential answers did not accurately describe the situation at my institution.
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100			Intranet or other online reporting system (e.g. Web-based portal or forms), Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Internal policy only	Internal policy only	Internal policy only	Internal policy only	No requirements	No requirements	Unsure of requirements	Unsure of requirements	Yes	No. We are a publicly traded company which does not receive NIH funding for any work . We do not share incidents unless there is a public health concern	There is no requirement to further disseminate the reports		Such incidents occurred and corrective action (such as retraining) was taken	A change in our safety culture from punitive to understanding.	Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	10-25	100			Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	If it is an NIH reportable event e.g., large scale spill, rDNA exposure) then it will be reported to the NIH. If BSL-3 local Department of Health may also be contacted	Legal requirement	Best practice record keeping	Best practice record keeping	Internal policy only	National agency requirement	No requirements	National agency requirement	Unsure of requirements	No	Data is not shared outside	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding			
	Yes	US - United States	We have no labs of this type	1-10	100	100	Other = BSL1 (animal only pathogens and toxins)	Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	When appropriate, reports are made to external agencies, i.e. NIH, CDC, Dept of Health	Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		Such incidents occurred, but no corrective action was needed	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	26-50	100			Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Any incident, lab related or not is recorded in the same manner by the same department		Regarding the last question... we report to whichever entity we MUST report to. It there is no reporting requirement based on the type of accident/injury we only report internally, again only to those people who would NEED to know of the accident/injury. 	Legal requirement	Legal requirement	Legal requirement	We do not keep records	National agency requirement	National agency requirement	No requirements	No requirements	Yes	A government agency or other institution publicly publishes aggregate data on incidences, Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports			Reporting is required but we have no way to enforce that	Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	10-25			Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Entity upper management		N/A	Legal requirement	Legal requirement	Legal requirement	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	The government agency or other institution publishes full incident reports			No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Reporting procedures are complex and time-consuming			
	Yes	US - United States	We have no labs of this type	01/10/20	100	100		Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management			Legal requirement	Legal requirement	Internal policy only		National agency requirement			Yes				No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	50-100			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-2 Pathogens, Laboratory acquired infections	Entity Biosafety officer						National agency requirement	Unsure of requirements	Unsure of requirements	Unsure of requirements	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	26-50	100	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	We do not report potential exposures externally, National public health/occupational safety agency	Only those incidents which are mandatory to report are reported externally i.e. those involving select agents or recombinant DNA.	Legal requirement	Best practice record keeping	Best practice record keeping	We do not keep records	National agency requirement	Unsure of requirements	National agency requirement	Unsure of requirements	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting would open the entity up to potential bad press.		There is the potential that workers chose not to report.	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding, Perceived threat to employment			
	Yes		We have no labs of this type	10-25	26-50			(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	Local government requirement	Unsure of requirements	Unsure of requirements	Yes	A government agency or other institution publicly publishes aggregate data on incidences			All potential exposures are reported	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding			
	Yes		We have no labs of this type	10-25	100			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee		Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	No requirements			No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)			No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	10-25	100			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Entity upper management		Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	No requirements	National agency requirement	Unsure of requirements	Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Perceived threat to employment			
	Yes	CA - Canada	We have no labs of this type	10-25	100		No ABSL at this site.	Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	The Incident reports only go to the National and/or State level depending on the type of incident and if it is reportable. 	Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	The Board of Directors	A government agency or other institution publicly publishes aggregate data on incidences		Any incidence involving exposure or potential exposure to pathogens must be reported Nationally. Incidences that require workplace safety and insurance board medical follow-up must be reported at the state level. Thus, depending on the incident, some incidents are reported at both levels or only at one level. 	All potential exposures are reported	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Social Pressure, Perceived threat to employment	I find that employees on contract are the most reluctant to report as they think it will affect their ability to seek full-time employment. 		
	Yes		We have no labs of this type	We have no labs of this type	50-100	10/25/20	We have chemical labs and BSL-1 labs as well	(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Near misses and spills/etc	National public health/occupational safety agency, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	If the incident is determined to be a reportable incident, a report is sent to OSHA, otherwise HR and the safety committee as well as the Biosafety officer and Chemical safety officer	Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences	There is no requirement to further disseminate the reports	We are not a public institution, but must report anything required by federal law	No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Some people don't want to be a bother to others, and take the time			
	Yes	US - United States	We have no labs of this type	1-10	100	26-50	ACL1 and 2; BSL1/2 Ag	Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		All potential exposures are reported	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States		10-25	26-50			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Institutional Biosafety Board or similar dedicated committee, Entity upper management		Internal policy only	Best practice record keeping	Internal policy only	Best practice record keeping	National agency requirement	No requirements	National agency requirement	No requirements	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		Such incidents occurred and corrective action (such as retraining) was taken	N/A - reporting is not required				
	Yes		We have no labs of this type	1-10	100			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury		Incidents are described as Near Miss, Injuries and Exposures. They go to HR, OCC HEALTH, OCC SAFETY OFFICER, . A space is provided for IACUC/IBC Number or if lab goes to IBC.	Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes				No such exposures have occurred	There are legal penalties for non-reporting	Perceived threat to employment			
	Yes		We have no labs of this type	We have no labs of this type	100			Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-2 Pathogens, Other incidents causing human injury	We do not report potential exposures externally, Institutional Biosafety Board or similar dedicated committee, Entity upper management		N/A	Internal policy only	Legal requirement	Best practice record keeping	Unsure of requirements	Unsure of requirements	Unsure of requirements	Unsure of requirements	No	The laboratory or research institute publicly publishes incident reports of exposures and incidences	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Backlash from PIs or other supervisor, not necessarily job threatening			
	Yes	CA - Canada	We have no labs of this type	We have no labs of this type	26-50			(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Any potential loss of containment	National public health/occupational safety agency, Entity Biosafety officer, Entity upper management		Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences			No such exposures have occurred	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding, Perceived threat to employment			
	Yes		We have no labs of this type	1-10	26-50			(Paper) Incident report forms, handwritten reports, or similar, Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer		Internal policy only	Internal policy only	Internal policy only	We do not keep records	National agency requirement	Local government requirement	National agency requirement	Local government requirement	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding			
	Yes	US - United States	We have no labs of this type	1-10	10-25	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Near misses or occurrences	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee		Internal policy only	Best practice record keeping	Internal policy only	Best practice record keeping	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes		There is no requirement to further disseminate the reports		No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure			
	Yes		We have no labs of this type	10-25	100	26-50	ACL, ABSL1, 2, Cell Counting,	(Paper) Incident report forms, handwritten reports, or similar, Phone call	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, All	Entity Biosafety officer, Entity upper management		Internal policy only	Internal policy only	Internal policy only	Internal policy only	National agency requirement	Unsure of requirements	National agency requirement	Local government requirement	No	A government agency or other institution publicly publishes aggregate data on incidences			Such incidents occurred and corrective action (such as retraining) was taken	Lab workers see incident reporting as important for their own safety	Reporting procedures are complex and time-consuming			
	No																												
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100	100	BSL-1; BSL-2+ and animal facilities	Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, all incidents, exposures, near misses and injuries are reported through this system	Entity Biosafety officer, Entity upper management	Initial first report is received by the BSO and EHS only. After the BSO determines it is a reportable incident, he/she will report it externally as required by law. 	N/A	Legal requirement	Internal policy only	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes		I do not know whether or not the governent entity publishes reported incidents.		No such exposures have occurred	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety, Make it easy for lab workers to report incidents. 	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure			
	Yes	US - United States	We have no labs of this type	10-25	100	100	BSL-1/ABSL-1	(Paper) Incident report forms, handwritten reports, or similar, Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	External reporting only when required. Who receives report depends on nature of incident/injury	Legal requirement	Legal requirement	Best practice record keeping	Internal policy only	Local government requirement	Unsure of requirements	Local government requirement	Unsure of requirements	Not entirely sure I understand this question	Only where required by government agency. (not entirely sure i understand this question)			No such exposures have occurred	Lab workers see incident reporting as important for their own safety, What incentives might affect reporting in what way? Positively? Negatively?	Social Pressure can also be an incentive			I had a difficult time understanding what exactly the questions are asking. In addition to, or as a result, the choices didn't reflect how things are done at my institution and it was difficult to provide an answer with a fair representation. So, I don't think the answers I provided are very useful. 
	Yes	US - United States	We have no labs of this type	1-10	100		zebrafish, autologous cell preparations and vaccines for patient therapy	Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	All incidents are sent to the biosafety and other health and safety officers; reporting to local, state, and federal agencies occur according to requirements. Trends or important incidents are reported to the Institutional Biosafety Committee for biological exposures, the Safety Committee for physical injuries, and the Lab Safety Committee for chemical incidents.	N/A	Legal requirement	Legal requirement	Internal policy only	National agency requirement	Local government requirement	Local government requirement	National agency requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination	There is no high-consequence biological research conducted here. However, bloodborne pathogen exposures and recombinant DNA experiments are reported. Potential exposure incidents or near-misses are incorporated into refresher training programs as feasible.	No such exposures have occurred	Lab workers see incident reporting as important for their own safety, No-fault reporting is very important. Staff are told that follow-up will occur in an effort to prevent re-occurrence. 	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment, Dscreet, objective incident investigation is critical to the improvement of a safety program. 			I wll be interested in reading the results of this survey.
	Yes		We have no labs of this type	26-50	100			Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Loss of containment of RG-3 Pathogens	National public health/occupational safety agency, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	External reports (e.g., to National public health/occupational safety agency) are made only for incidents for which reporting is required. If no external reporting is required, incidents are circulated internally only.	Legal requirement	Internal policy only	Internal policy only	Best practice record keeping	National agency requirement	No requirements	National agency requirement	Unsure of requirements	Incidents are communicated in person during meetings with on-campus clients.	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports	We are working to establish a platform for internal communication of Lessons Learned and anticipate completing this strategic initiative by end of 2020.	I am not aware of non-reporting of exposures involving high-risk pathogens	Lab workers see incident reporting as important for their own safety, Lab workers see safety specialists as partners and not as enforcement	Negative response by entity receiving the report			
	Yes	US - United States	We have no labs of this type	26-50	100	50-100	Plant biosafety levels 1, 2, and 3	(Paper) Incident report forms, handwritten reports, or similar, Email 	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	There are different groups that get incident reports but it is different by agent. 	Legal requirement	Internal policy only	Best practice record keeping	We do not keep records	National agency requirement	Local government requirement	National agency requirement	Local government requirement	No	It depends. Unless required by law, we do not share the information. 	There is no requirement to further disseminate the reports		Such incidents occurred and corrective action (such as retraining) was taken	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting, There must be a non punitive system for it to work. 	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment, Fear of repercussion 			
