Timestamp (Removed)	I have read and understand the explanation provided to me, and I voluntarily agree to participate in this study. 	Location	How many employees / workers have access to or use the various lab(s) [BSL-4 / ABSL-4]	How many employees / workers have access to or use the various lab(s) [BSL-3 / ABSL-3]	How many employees / workers have access to or use the various lab(s) [BSL-2 / ABSL-2]	How many employees / workers have access to or use the various lab(s) [Other facilities, (describe below)]	Other comments or details about labs / facilities?	How are laboratory incidents recorded?	What types of incidents are recorded? (Risk-Group=RG)	Who receives the incident reports?	Other comments / notes? (Optional)	What record-keeping requirements exist for each of the following types of incidents? [Exposure to high-consequence pathogens]	What record-keeping requirements exist for each of the following types of incidents? [Exposure to low-risk pathogens]	What record-keeping requirements exist for each of the following types of incidents? [Other exposure or injury]	What record-keeping requirements exist for each of the following types of incidents? [Near-Miss Events]	What type of incident reporting is required for potential exposures? [High-consequence potential exposures]	What type of incident reporting is required for potential exposures? [Other exposure or injury]	What type of incident reporting is required for clinical/public health laboratory acquired infections? [High-risk infections]	What type of incident reporting is required for clinical/public health laboratory acquired infections? [Other exposure or injury]	Is there further dissemination of incident reports?	Is incident data shared outside the entity?	If incident data is not shared, state why not. Mark only one oval.	Other points regarding reporting requirements or practices? (Optional)	Are you aware of non-reporting of exposures involving high-risk pathogens?	What incentives might affect reporting by lab workers?	What disincentives might affect reporting by lab workers?	Other comments regarding nonreporting or incentives? (Optional)	Consent	Do you have other comments about the survey or questions?
	Yes	NZ - New Zealand	We have no labs of this type	10-25	100	26-50	Invertebrate Containment Facilities (not under animals in NZ), Post Entry Quarantine Facilities	Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-2 Pathogens, Loss of risk organisms, damage to a facility, illegal imports, unapproved use	Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	Use of known human/food safety pathogens in our facility is limited to RG2 and generally specific lab. RG3 usually are plant pathogens	Legal requirement	Internal policy only	Legal requirement	Legal requirement	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	Generally not share in NZ unless a public outbreak occurs	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination	No requirement for reporting 'select agents' held so not recognized by health agencies or worksafe in NZ	No such exposures have occurred	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding			
	Yes	US - United States		10-25	100			Spreadsheets, written computer-based reports, or similar documentation, Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Legal requirement	Best practice record keeping	Legal requirement	Best practice record keeping	National agency requirement	Local government requirement			Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100	We have no labs of this type		Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee		N/A	Internal policy only	Internal policy only	Best practice record keeping	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences				Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Reporting procedures are complex and time-consuming, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	10-25			(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Any incidents that occur in the lab	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee		N/A	Internal policy only	Internal policy only	We do not keep records	National agency requirement	National agency requirement			Yes	A government agency or other institution publicly publishes aggregate data on incidences		only incidents required to be reported to public agencies are shared	No such exposures have occurred					
	Yes	CA - Canada			100	100	Manufacturing/large-scale facilities that work with risk group 2 organisms	(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee		Legal requirement	Legal requirement	Internal policy only	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences			No such exposures have occurred	Lab workers see incident reporting as important for their own safety, There are internal policies governing reporting. To not report would be a non-compliance.	Reporting procedures are complex and time-consuming, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100			(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-2 Pathogens, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee		Legal requirement	Legal requirement	Legal requirement	N/A	Local government requirement	Unsure of requirements	Local government requirement	Local government requirement	Yes		There is no requirement to further disseminate the reports		No high-risk pathogens present		Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming			
	Yes	US - United States	We have no labs of this type	10-25	100	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, incidents involving deviation from federal requirements	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	removing reputational stigma on the part of the researcher/lab	Concern that reported incidents have a negative impact on research or funding, Social Pressure, Perceived threat to employment, reputational stigma on the part of the researcher/lab			
	Yes	US - United States	We have no labs of this type	1-10	10-25	10-25		(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Local or state agency or health authority, Entity Biosafety officer, Entity upper management		Internal policy only	Internal policy only	Internal policy only	Internal policy only	No requirements	No requirements	National agency requirement	National agency requirement	I am unsure if incidents or aggregate data are compiled or reported.	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		Such incidents occurred and corrective action (such as retraining) was taken	N/A - reporting is not required	Perceived threat to employment			
	Yes		We have no labs of this type	10-25	50-100	100	BSL-1 and other labs	Spreadsheets, written computer-based reports, or similar documentation, Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	Incidents reported to NIH and FSAP as required.	Legal requirement	Legal requirement	Legal requirement	Best practice record keeping	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		All potential exposures are reported	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100			Specialized software (e.g. commercial software designed for reporting), Electronic report forms	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Institutional Biosafety Board or similar dedicated committee		N/A	N/A	N/A	N/A	No requirements	No requirements	No requirements	No requirements	N/A - No RG3, RG4 or select agent work	N/A - No RG3, RG4 or select agent work	N/A - No RG3, RG4 or select agent work							The initial email and beginning of the survey didn't make it clear the survey focuses on RG3, RG4, and select agent exposures and reporting so I either answered N/A or did not include a response. 
	Yes		We have no labs of this type	1-10	100	100		(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences, Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)			All potential exposures are reported	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Social Pressure, Perceived threat to employment			
	Yes		We have no labs of this type	We have no labs of this type	50-100			(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Laboratory acquired infections, Other incidents causing human injury, needle sticks	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		N/A	Internal policy only	Legal requirement	Internal policy only	No requirements	Unsure of requirements	Unsure of requirements	Unsure of requirements	Yes		There is no requirement to further disseminate the reports							
	Yes	US - United States		100	100	100	ACL and plant work	(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, near misses are also reported- things that almost happened, or could have happened bt didn't result in injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	National and local as required by law	Best practice record keeping	Best practice record keeping	Best practice record keeping	Best practice record keeping	National agency requirement	National agency requirement	National agency requirement	Unsure of requirements	Yes	A government agency or other institution publicly publishes aggregate data on incidences, Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress), only data required by law	There is no requirement to further disseminate the reports	It's not just because there is no requirement, but the important information is the how, why where, what and the follow up/ the mitigation aspect to the incident. The whole picture needs to be provided, where as often times the public, media, those not familiar with the field like to judge the incident, but never get the rest of the story- the review- the whole picture- or don't bother to get the whole picture- what was done to to mitigate/ minimize it form happening or what was done to mitigate or minimize it from happening to someone in the case of near miss reports. Incident reporting is not one step, its a process. 	not a good question- do I think non reporting can happen? Do I do everything in my power to provide a safe place to report? Those would be good questions. 	Lab workers see incident reporting as important for their own safety, and the safety of their team and community.	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Perceived threat to employment	The incentive questions don't make sense as incentives except the one...		
	Yes	US - United States	We have no labs of this type	1-10	50-100	26-50	We have some BSL1 laboratories where environmental chemistry work occurs, as well as field operations to sample outdoor air, water, and bodies of surface water.	Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	University Occupational Health and Worker's Compensation both receive our first reports of injury (or exposure).	Legal requirement	Internal policy only	Internal policy only	Best practice record keeping	National agency requirement	No requirements	National agency requirement	No requirements	I am unsure if incidents or aggregate data are compiled or reported.	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes			1-10	26-50			(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Entity upper management		Legal requirement	Legal requirement	Internal policy only	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	No	The laboratory or research institute publicly publishes incident reports of exposures and incidences, Aggregate data on exposures and incidences is reported publicly by the laboratory or research institute	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Reporting procedures are complex and time-consuming			
	Yes	US - United States	We have no labs of this type	1-10	10-25			(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Laboratory acquired infections, Other incidents causing human injury	We do not report potential exposures externally, Entity Biosafety officer, Entity upper management		Legal requirement	Legal requirement	Internal policy only	Best practice record keeping	National agency requirement	Local government requirement	National agency requirement	Local government requirement	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		Such incidents occurred and corrective action (such as retraining) was taken	Lab workers see incident reporting as important for their own safety	Perceived embarrasement/trouble for mistake			
	Yes	US - United States	We have no labs of this type	10-25	50-100			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Entity upper management	Routine testing of pathogen risk groups always has the potential for exposure. We encourage reporting of all risk groups at different levels of exposure. Potential exposure to RG-4 is mandatory, but RG-3 or less is only reported when an incident or accident causes an exposure. 	Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	No requirements	National agency requirement		Yes	We have incident reports available, but they are not published. Select Agent reports internally and to Select Agent officials.	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety		There may be incidents that go unreported. The answers don't quite match in the question about awareness of non-reporting. I am unaware of non-reporting, but it doesn't mean incidents don't occur.		
	Yes	US - United States	We have no labs of this type	We have no labs of this type	1-10	We have no labs of this type		Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Near misses are recorded and assessed by Employee Health, our research safety compliance specialist, and the lab/department manager.	Institutional Biosafety Board or similar dedicated committee, Entity upper management	Employee Health also receives reports, and any reporting out to health authorities is done in compliance with regulations.	Best practice record keeping	Best practice record keeping	Best practice record keeping	Best practice record keeping	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes	Aggregate data on exposures and incidences is reported publicly by the laboratory or research institute			All potential exposures are reported	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	If any management was not supportive of reporting, the burden on the safety specialist and committee would increase.			
	Yes	US - United States	We have no labs of this type	10-25	100			Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	Reporting depends on the nature of the agents/activity. Some incidents are reported to NIH per requirements. Although rare, some incidents may be reportable to state/federal health agencies. 	Legal requirement	Internal policy only	Internal policy only	We do not keep records	National agency requirement	No requirements	Unsure of requirements	No requirements	The answer to this question is dependent upon the nature of the incident.	A government agency or other institution publicly publishes aggregate data on incidences	There is no requirement to further disseminate the reports		No such exposures have occurred	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Reporting procedures are complex and time-consuming, Social Pressure			Thanks for the invitation. At our institution, we encourage reporting of all near-misses and incidents, although anecdotally I might estimate that <<5% of near misses are reported. I believe that exposures to biological agents (select agents, or materials/activities subject to US NIH governance) are reported at a much higher percentage - perhaps >95% for select agents and >75% (just a guess) for genetic modifications. 
	Yes	US - United States	We have no labs of this type	1-10	50-100	100	BSL1 and Molecular, Chemistry or other non-bio Labs	(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Other incidents causing human injury, General exposure to any biological organism, material or chemical	Entity Biosafety officer		N/A	Legal requirement	Legal requirement	Best practice record keeping	National agency requirement	National agency requirement	Unsure of requirements	Unsure of requirements	No	No	There is no requirement to further disseminate the reports		No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Social Pressure			
	No																											I would like to withdraw my consent and not have my answers included in the dataset	
	Yes	US - United States	We have no labs of this type	26-50	26-50	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Local or state agency or health authority, Entity Biosafety officer, Entity upper management		Legal requirement	Legal requirement	Legal requirement	Internal policy only	Local government requirement	Local government requirement	Local government requirement	Local government requirement	Yes	Aggregate data on exposures and incidences is reported publicly by the laboratory or research institute			All potential exposures are reported	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100			Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Any incidents involving rDNA , near misses, spills	Entity Biosafety officer		Internal policy only	Internal policy only	Internal policy only	Internal policy only	National agency requirement	Unsure of requirements	Local government requirement	Unsure of requirements	Shared internally or with NIH for rDNA incidents			shared internal reports are scrubbed of personnel information	All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding			
	Yes	US - United States	We have no labs of this type	1-10	100			Intranet or other online reporting system (e.g. Web-based portal or forms), Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Entity upper management		Internal policy only	We do not keep records	Best practice record keeping	Best practice record keeping	Unsure of requirements	National agency requirement	Unsure of requirements	National agency requirement	I am unsure if incidents or aggregate data are compiled or reported.	not sure	not sure		Such incidents occurred and corrective action (such as retraining) was taken	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming			
	Yes	US - United States		26-50			BSL-3 Plant Facility	Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Entity Biosafety officer, Entity upper management		Legal requirement	Legal requirement	Best practice record keeping	Internal policy only	National agency requirement	Local government requirement	National agency requirement	National agency requirement	Yes	The government agency or other institution publishes full incident reports	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	10-25	26-50	26-50		Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Chemical spills	We do not report potential exposures externally, Entity Biosafety officer, Entity upper management		Legal requirement	Internal policy only	Legal requirement	Internal policy only	National agency requirement	National agency requirement	National agency requirement	National agency requirement	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety	Lack of understanding of what constitutes an incident			
	Yes		We have no labs of this type	10-25	100	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	We do not report potential exposures externally, Institutional Biosafety Board or similar dedicated committee	We provide our IBC with notification of any incident, but do not provide them with the full report.	Legal requirement	Best practice record keeping	Internal policy only	Best practice record keeping	National agency requirement	Unsure of requirements			I am unsure if incidents or aggregate data are compiled or reported.		There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	1-10	26-50	BSL-1/ABSL-1 labs	(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Near misses, lab spills	Entity Biosafety officer	Local health authority would be contacted if appropriate.	N/A	Internal policy only	Internal policy only	Internal policy only	Unsure of requirements	Unsure of requirements	Unsure of requirements	Unsure of requirements	No		Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	Lab workers see incident reporting as important for their own safety, Internal consequences, including lab closure, could occur if incidents are not reported.	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	50-100	10-25	Plant BSL2 	(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Near misses 	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		We do not keep records	Best practice record keeping	Best practice record keeping	Best practice record keeping	National agency requirement	National agency requirement	National agency requirement	National agency requirement	No	The aggregate data is reported OSHA as part of the SHARP program 	There is no requirement to further disseminate the reports		No such exposures have occurred	Not reporting could result in termination 	Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	1-10			(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections	National public health/occupational safety agency, Institutional Biosafety Board or similar dedicated committee, Entity upper management	Only national reports per NIH guidelines 	Legal requirement	Best practice record keeping	Best practice record keeping	Best practice record keeping	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	A government agency or other institution publicly publishes aggregate data on incidences, Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports	Unable to answer these questions in useful manner because incident type [death, hospitalization, release to environment, or reportable to SA or OSHA	Such incidents occurred and corrective action (such as retraining) was taken	Lab workers see incident reporting as important for their own safety	Perceived threat to employment			
	Yes	US - United States		100	100	100		Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer	Environmental Health and Safety Department and Research Compliance Office	Legal requirement	Best practice record keeping	Legal requirement	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	aggregate data is copmiled but individual reports are confidential	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	reports are only shared when legally required, such as by FSAP or NIH		All potential exposures are reported	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Reporting procedures are complex and time-consuming			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	1-10	We have no labs of this type	~20 BSL 1 and Chemistry labs	Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Entity upper management		N/A	Internal policy only	Internal policy only	Internal policy only	Unsure of requirements	Unsure of requirements	Unsure of requirements	Unsure of requirements	No	Cal/OSHA reportable injuries would be reporte to Cal/OSHA. Note that we do not have any RG3, RG4, select agents, or toxins at our facility.	There is no requirement to further disseminate the reports		No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Reporting procedures are complex and time-consuming			
	Yes	US - United States	We have no labs of this type	10-25	50-100			(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	National public health/occupational safety agency, Local or state agency or health authority, Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	Reports are made to higher levels depending on the exposures	Legal requirement	Internal policy only	Internal policy only	Internal policy only	National agency requirement	No requirements	National agency requirement	No requirements	Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)			All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment	All disincentives listed are possible and addressed carefully in my facility		
